pl_name,pl_altname,st_name,st_spectral_type,st_distance,st_apparent_magnitude,pl_semi_major_axis,pl_eccentricity,pl_orbital_period,pl_angular_distance,pl_periastron_time,pl_inclination,pl_argument_of_periastron,pl_mass,pl_minimum_mass,pl_radius,pl_density,pl_temperature,disc_method,disc_year,disc_facility
HD 104985 b,,HD 104985,G9 III,"ValueWithUncertainty(value=100, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.715, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.047, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=199, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2455083, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=133, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2003, error_positive=None, error_negative=None, sign=None)",Okayama Astrophysical Observatory
Kepler-195 b,,Kepler-195,,"ValueWithUncertainty(value=652, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.077, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=8, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.118, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.015, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.181, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=751, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2014, error_positive=None, error_negative=None, sign=None)",Kepler
MOA-2008-BLG-310L b,,MOA-2008-BLG-310L,,"ValueWithUncertainty(value=7700, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=0.143, error_positive=None, error_negative=None, sign=None)",,,,"ValueWithUncertainty(value=0.0736, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.462, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.925, error_positive=None, error_negative=None, sign=None)",,Microlensing,"ValueWithUncertainty(value=2009, error_positive=None, error_negative=None, sign=None)",MOA
K2-395 c,,K2-395,K0,"ValueWithUncertainty(value=286, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=8, error_positive=None, error_negative=None, sign=None)",,,,,"ValueWithUncertainty(value=0.036, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.30288213, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,Transit,"ValueWithUncertainty(value=2022, error_positive=None, error_negative=None, sign=None)",K2
Kepler-1667 b,,Kepler-1667,,"ValueWithUncertainty(value=626, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.35905, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=83, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.573, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0289, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.2662015, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=655, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2020, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-245 c,,Kepler-245,,"ValueWithUncertainty(value=861, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.124, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=17, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.144, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.08400759, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.194, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=9, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=568, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2014, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-1019 b,,Kepler-1019,,"ValueWithUncertainty(value=194, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0221, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.114, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=78, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.00859, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.13025248, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1164, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
TOI-1680 b,,TOI-1680,M4.5+/-0.5,"ValueWithUncertainty(value=37, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.03144, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.845, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.00865, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.13078799, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=404, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2023, error_positive=None, error_negative=None, sign=None)",Transiting Exoplanet Survey Satellite (TESS)
Kepler-134 b,,Kepler-134,,"ValueWithUncertainty(value=334, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.06, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.179, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=85, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0147, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.178, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1105, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2014, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-1791 b,,Kepler-1791,,"ValueWithUncertainty(value=602, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0761, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.126, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=84, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0312, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.27844041, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1021, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2021, error_positive=None, error_negative=None, sign=None)",Kepler
TOI-244 b,,TOI-244,M2.5 V,"ValueWithUncertainty(value=22, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0559, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.00843222, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.13560555, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=458, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2023, error_positive=None, error_negative=None, sign=None)",Transiting Exoplanet Survey Satellite (TESS)
Kepler-953 b,,Kepler-953,,"ValueWithUncertainty(value=258, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=11, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.392, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0519, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.37559104, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=410, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
POTS-1 b,,POTS-1,K5 V,"ValueWithUncertainty(value=747, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=17, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.03734, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0499, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.941, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)",,Transit,"ValueWithUncertainty(value=2013, error_positive=None, error_negative=None, sign=None)",La Silla Observatory
Kepler-1096 b,,Kepler-1096,,"ValueWithUncertainty(value=377, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.034, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.09, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=85, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.00651, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.11062539, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=794, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-208 c,,Kepler-208,,"ValueWithUncertainty(value=775, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.079, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.102, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0079, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.124, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1141, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2014, error_positive=None, error_negative=None, sign=None)",Kepler
HD 66428 b,,HD 66428,G8 IV (+ G),"ValueWithUncertainty(value=53, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=8, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.471, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2269, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=63, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2450057, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=16, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=185, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=10, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=10, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2005, error_positive=None, error_negative=None, sign=None)",W. M. Keck Observatory
Kepler-949 b,,Kepler-949,,"ValueWithUncertainty(value=486, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=14, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.07739, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=8, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.159, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0277, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.25961281, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=782, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-1782 b,,Kepler-1782,,"ValueWithUncertainty(value=305, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.05825, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.19, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=87, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0176, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.19888288, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=773, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2021, error_positive=None, error_negative=None, sign=None)",Kepler
K2-397 b,,K2-397,G7,"ValueWithUncertainty(value=199, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=11, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)",,,,,"ValueWithUncertainty(value=0.0202, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.21563067, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)",,Transit,"ValueWithUncertainty(value=2022, error_positive=None, error_negative=None, sign=None)",K2
HD 62549 b,,HD 62549,,"ValueWithUncertainty(value=49, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=11, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=14306, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=240, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2440319, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=162, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=133, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=8, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2022, error_positive=None, error_negative=None, sign=None)",Multiple Observatories
HD 142 c,,HD 142,F7V,"ValueWithUncertainty(value=26, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=9, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.277, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=10159, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=375, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2447170, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=90, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=279, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=10, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=9, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2012, error_positive=None, error_negative=None, sign=None)",Anglo-Australian Telescope
HD 33142 c,,HD 33142,K0 III,"ValueWithUncertainty(value=121, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=7, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.081, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=810, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=16, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2455664, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=52, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.89, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.89, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.579, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2018, error_positive=None, error_negative=None, sign=None)",W. M. Keck Observatory
Kepler-230 c,,Kepler-230,,"ValueWithUncertainty(value=740, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.38, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=91, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.513, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0152, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.182, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=359, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2014, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-694 b,,Kepler-694,,"ValueWithUncertainty(value=1023, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0659, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=6, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0644, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=87, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0259, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.24979927, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=914, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
K2-104 b,,K2-104,M2.5e,"ValueWithUncertainty(value=189, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0242, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.09, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.128, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0121, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.15969338, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=3, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=798, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",K2
TOI-5238 b,,TOI-5238,,"ValueWithUncertainty(value=290, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12, error_positive=None, error_negative=None, sign=None)",,,"ValueWithUncertainty(value=4, error_positive=None, error_negative=None, sign=None)",,,,,"ValueWithUncertainty(value=0.0747, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.46569801, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.916, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1042, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2022, error_positive=None, error_negative=None, sign=None)",Transiting Exoplanet Survey Satellite (TESS)
Kepler-1469 b,,Kepler-1469,,"ValueWithUncertainty(value=1159, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=16, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.1466, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=21, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.126, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=89, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0259, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.24979927, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=551, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
Kepler-1677 b,,Kepler-1677,,"ValueWithUncertainty(value=735, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.1599, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=22, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.217, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=86, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0244, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.24107073, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=712, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2020, error_positive=None, error_negative=None, sign=None)",Kepler
K2-155 c,,K2-155,K7,"ValueWithUncertainty(value=72, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=12, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0946, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=13, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=88, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0229, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.23195646, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=583, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2018, error_positive=None, error_negative=None, sign=None)",K2
HD 233604 b,,HD 233604,K5,"ValueWithUncertainty(value=847, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=10, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.747, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.05, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=192, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.882, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2453022, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=281, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=6, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=6, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=1, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=5, error_positive=None, error_negative=None, sign=None)",,Radial Velocity,"ValueWithUncertainty(value=2013, error_positive=None, error_negative=None, sign=None)",McDonald Observatory
Kepler-1304 b,,Kepler-1304,,"ValueWithUncertainty(value=2176, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=15, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.1202, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=16, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=0.0552, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=81, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.0184, error_positive=None, error_negative=None, sign=None)",,"ValueWithUncertainty(value=0.20430012, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=2, error_positive=None, error_negative=None, sign=None)","ValueWithUncertainty(value=715, error_positive=None, error_negative=None, sign=None)",Transit,"ValueWithUncertainty(value=2016, error_positive=None, error_negative=None, sign=None)",Kepler
