name,host_star,discovery_year,discovery_method,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,equilibrium_temperature,equilibrium_temperature_error_min,equilibrium_temperature_error_max,source,last_updated
Kepler-1354 b,Kepler-1354,2016.0,Transit,9.11,,,2.97,1.22,-0.5,76.613377,0.0007773,-0.0007773,0.3521,,,0.0,,,88.5,,,466.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1878 b,Kepler-1878,2021.0,Transit,8.86,,,2.92019781,,,4.445879936,,,0.0521,,,0.0,,,86.18,,,1063.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1360 b,Kepler-1360,2016.0,Transit,11.5,,,3.4,1.17,-0.76,40.5286413,0.0003328,-0.0003328,0.2866,,,0.0,,,89.34,,,933.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-610 c,Kepler-610,2016.0,Transit,10.9,,,3.3,0.84,-0.37,151.86392,0.001118,-0.001118,0.5594,,,0.0,,,89.99,,,318.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1347 b,Kepler-1347,2016.0,Transit,1.08,,,1.03,0.06,-0.05,14.00947528,7.001e-05,-7.001e-05,0.104,,,0.0,,,89.5,,,617.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1353 b,Kepler-1353,2016.0,Transit,3.89,,,1.8,0.37,-0.13,24.7543966,0.0001431,-0.0001431,0.153,,,0.0,,,89.01,,,491.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1355 b,Kepler-1355,2016.0,Transit,2.73,,,1.46,0.12,-0.1,1.289588112,3.503e-06,-3.503e-06,0.0224,,,0.0,,,86.63,,,1448.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1692 b,Kepler-1692,2020.0,Transit,1.42,,,1.11177184,,,5.95966,,,0.0646,,,0.0,,,89.03,,,897.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-184 b,K2-184,2018.0,Transit,2.76,,,1.47,0.11,-0.05,16.9780102,2.37e-05,-2.42e-05,0.1685,0.0155,-0.0409,,,,89.46643,0.4015,-0.71317,533.0,10.0,-23.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-2109 b,TOI-2109,2021.0,Transit,1595.49860314,238.37130525,-238.37130525,15.098497,0.52682209,-0.52682209,0.67247414,2.8e-08,-2.8e-07,0.01791,0.00065,-0.00065,,,,70.74,0.37,-0.37,3646.0,88.0,-88.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-353 b,Kepler-353,2014.0,Transit,0.64,,,0.89,0.06,-0.06,5.795278,5.5e-05,-5.5e-05,0.051,,,0.0,,,87.11,,,534.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1941 b,Kepler-1941,2021.0,Transit,7.51,,,2.64976949,,,31.33510017,,,0.2054,,,0.0,,,88.6,,,666.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-186 f,Kepler-186,2014.0,Transit,1.71,,,1.17,0.08,-0.08,129.9441,0.0013,-0.0012,0.432,0.171,-0.053,0.04,0.07,-0.04,89.96,0.04,-0.1,177.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1728 b,Kepler-1728,2021.0,Transit,9.04,,,2.95501875,,,4.782999992,,,0.0535,,,0.0,,,89.99,,,886.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-688 b,Kepler-688,2016.0,Transit,68.7,,,9.76,1.76,-0.97,3.895936844,8.01e-07,-8.01e-07,0.046,,,0.0,,,87.56,,,1005.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-388 c,Kepler-388,2014.0,Transit,0.566,,,0.86,0.11,-0.11,13.297004,0.000185,-0.000185,0.093,,,0.0,,,89.95,,,515.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-164 b,K2-164,2018.0,Transit,10.6,,,3.24925008,0.51526655,-0.41335659,17.355066,0.004097,-0.003808,,,,,,,87.88981,1.53237,-3.66171,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-19 d,K2-19,2016.0,Transit,10.0,,,1.11,0.05,-0.05,2.5081,0.0002,-0.0002,0.0344,0.0006,-0.0006,0.0,,,90.8,0.7,-0.7,1252.0,36.0,-36.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-32 d,K2-32,2016.0,Transit,6.7,2.5,-2.5,3.484,0.112,-0.129,31.71701,0.00101,-0.00096,0.18422,0.00152,-0.00144,0.05,0.053,-0.035,89.4,0.1,-0.1,550.0,8.0,-9.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-2154 b,TOI-2154,2023.0,Transit,292.40213444,60.38739733,-57.20911326,16.28664896,0.59407598,-0.53803107,3.8240801,2.5e-06,-2.5e-06,0.0513,0.0011,-0.0013,0.117,0.1,-0.079,83.37,0.55,-0.75,1580.0,27.0,-27.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-2337 b,TOI-2337,2022.0,Transit,508.5254512,47.67426105,-47.67426105,10.08808263,1.12089807,-1.12089807,2.99432,8e-05,-8e-05,,,,0.019,0.017,-0.017,,,,1272.46,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
L 363-38 b,L 363-38,2023.0,Radial Velocity,4.67,0.43,-0.43,2.0,,,8.781,0.007,-0.007,0.048,0.006,-0.006,,,,,,,330.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-2257 b,TOI-2257,2021.0,Transit,5.45,,,2.194,0.113,-0.111,35.189346,9e-05,-9e-05,0.145,0.003,-0.003,0.496,0.216,-0.133,89.786,0.078,-0.062,256.0,61.0,-17.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1452 b,TOI-1452,2022.0,Transit,4.82,1.3,-1.3,1.672,0.071,-0.071,11.06201,2e-05,-2e-05,0.061,0.003,-0.003,0.0,,,89.77,0.16,-0.16,326.0,7.0,-7.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 105618 b,HD 105618,2022.0,Radial Velocity,25.42627256,2.22479885,-2.54262726,5.44,,,10.02245,0.00139,-0.00118,0.091,0.004,-0.004,0.455,0.041,-0.038,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Wendelstein-2 b,Wendelstein-2,2020.0,Transit,232.33373,171.94603,-98.84513,12.9934728,0.2286636,-0.235389,1.7522239,8e-07,-8e-07,0.0234,0.0015,-0.0015,0.057,,,87.87,0.98,-1.04,2470.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 93963 A b,HD 93963 A,2022.0,Transit,2.8,2.3,-2.3,1.46954368,0.07347231,-0.06596084,1.0376109,8.5e-06,-8.5e-06,0.02061,0.0004,-0.0004,0.0,,,86.21,1.69,-1.14,1842.23,26.83,-28.41,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 15 A c,GJ 15 A,2018.0,Radial Velocity,36.0,25.0,-18.0,6.67,,,7600.0,2200.0,-1700.0,5.4,1.0,-0.9,0.27,0.28,-0.19,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-860 b,Kepler-860,2016.0,Transit,10.6,,,3.24,0.81,-0.33,5.101379454,8.945e-06,-8.945e-06,0.058,,,0.0,,,89.9,,,1050.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1695 b,TOI-1695,2022.0,Transit,6.36,1.0,-1.0,1.9,0.16,-0.14,3.1342791,7.1e-06,-6.3e-06,0.033548,0.00026,-0.000268,0.097,,,87.2,1.3,-0.5,698.0,14.0,-14.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KMT-2021-BLG-0712L b,KMT-2021-BLG-0712L,2023.0,Microlensing,38.19,20.52,-12.24,6.91,,,,,,2.22,0.66,-0.48,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1811 b,TOI-1811,2023.0,Transit,308.9292116,24.15495893,-24.79061575,11.14172682,0.28022452,-0.25780656,3.7130765,1.7e-06,-1.7e-06,0.04389,0.00058,-0.00055,0.052,0.062,-0.037,86.48,0.15,-0.2,962.2,8.0,-7.9,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
CoRoT-27 b,CoRoT-27,2014.0,Transit,3302.11,174.8,-174.8,11.287,0.493,-0.493,3.57532,6e-05,-6e-05,0.0476,0.0066,-0.0066,0.065,,,86.7,1.2,-0.87,1500.0,130.0,-130.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1200 b,Kepler-1200,2016.0,Transit,1.2,,,1.06,0.06,-0.08,1.118549717,3.12e-06,-3.12e-06,0.0188,,,0.0,,,87.68,,,1174.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1260 b,Kepler-1260,2016.0,Transit,3.78,,,1.77,0.51,-0.28,19.1187753,0.0001687,-0.0001687,0.1444,,,0.0,,,87.16,,,823.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
kap And b,kap And,2012.0,Imaging,4327.36,7323.224,-332.874,12.3,,,,,,55.0,2.0,-2.0,,,,,,,1900.0,100.0,-200.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 190007 b,HD 190007,2020.0,Radial Velocity,15.5,1.2,-1.3,4.06,,,11.724128,9.9e-05,-9.9e-05,0.092,0.0008,-0.0008,0.136,0.085,-0.08,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 47366 c,HD 47366,2016.0,Radial Velocity,483.73483545,22.8836453,-22.24798849,13.5,,,677.53,1.29,-1.16,1.84,0.002,-0.002,0.161,0.045,-0.041,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
ome Ser b,ome Ser,2013.0,Radial Velocity,233.92170755,19.06970442,-33.68981114,14.0,,,278.59,0.8,-0.61,0.838,0.002,-0.001,0.18,0.066,-0.127,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
tau Gem b,tau Gem,2013.0,Radial Velocity,6547.0,,,12.1,,,305.5,0.1,-0.1,1.17,,,0.031,0.009,-0.009,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 273 b,GJ 273,2017.0,Radial Velocity,2.89,0.27,-0.26,1.51,,,18.6498,0.0059,-0.0052,0.091101,1.9e-05,-1.7e-05,0.1,0.09,-0.07,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 163 c,GJ 163,2013.0,Radial Velocity,6.8,0.9,-0.9,2.5,,,25.63058,0.0255,-0.0255,0.1254,0.0001,-0.0001,0.099,0.086,-0.086,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 153557 c,HD 153557,2022.0,Radial Velocity,17.48056238,1.58914204,-1.90697044,4.36,,,15.27018,0.0014,-0.00117,0.111,0.004,-0.004,0.511,0.037,-0.029,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-778 b,TOI-778,2023.0,Transit,878.0,77.0,-72.0,15.4,0.5,-0.5,4.633611,1e-06,-1e-06,0.06,0.003,-0.003,0.21,0.04,-0.04,84.7,0.3,-0.4,1561.0,33.0,-32.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 156098 c,HD 156098,2022.0,Radial Velocity,1661.6069118,615.95145277,-409.04515981,12.8,,,7841.5839,247.41756,-516.56728,8.415,0.396,-0.629,0.391,0.04,-0.051,23.462,22.352,0.0,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HIP 90988 b,HIP 90988,2021.0,Radial Velocity,668.07531151,25.10844415,-27.0154146,13.4,,,455.73816,2.11413,-1.88939,1.36,0.026,-0.027,0.081,0.042,-0.043,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 125612 c,HD 125612,2009.0,Radial Velocity,15.57359194,2.54262726,-2.86045566,4.07,,,4.15466,0.00043,-0.0004,0.051,0.002,-0.002,0.149,0.141,-0.093,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
tau Boo b,tau Boo,1996.0,Radial Velocity,1891.0,89.0,-89.0,12.8,,,3.3124568,6.9e-06,-6.9e-06,0.049,0.003,-0.003,0.011,0.006,-0.006,44.5,1.5,-1.5,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-207 c,Kepler-207,2014.0,Transit,2.86,,,1.5,0.29,-0.29,3.071571,1.6e-05,-1.6e-05,0.044,,,0.0,,,74.56,,,1556.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-62 e,Kepler-62,2013.0,Transit,36.0,,,1.61,0.05,-0.05,122.3874,0.0008,-0.0008,0.427,0.004,-0.004,0.0,,,89.98,0.02,-0.02,270.0,15.0,-15.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KOI-351 g,KOI-351,2013.0,Transit,254.264,,,8.1,0.8,-0.8,210.60697,0.00043,-0.00043,0.71,0.08,-0.08,0.0,,,89.8,0.06,-0.06,342.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-23 b,Kepler-23,2011.0,Transit,2.56,0.43,-0.4,1.638,0.047,-0.047,7.1,,,0.07212,0.00057,-0.00057,0.017,0.019,-0.014,89.57,,,1157.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KOI-351 d,KOI-351,2013.0,Transit,8.6,,,2.87,0.3,-0.3,59.73667,0.00038,-0.00038,0.32,0.05,-0.05,0.0,,,89.71,0.29,-0.29,520.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-16 b,Kepler-16,2011.0,Transit,105.833,5.085,-5.085,8.4493,0.0291,-0.0291,228.776,0.02,-0.037,0.7048,0.0011,-0.0011,0.0069,0.001,-0.0015,90.0322,0.0022,-0.0023,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-920 b,Kepler-920,2016.0,Transit,6.44,,,2.42,0.22,-0.16,6.53192704,2.296e-05,-2.296e-05,0.065,,,0.0,,,84.79,,,907.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-874 b,Kepler-874,2016.0,Transit,14.7,,,3.94,1.07,-0.59,40.0686727,0.0001013,-0.0001013,0.2234,,,0.0,,,89.97,,,560.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-876 b,Kepler-876,2016.0,Transit,2.63,,,1.43,0.1,-0.09,5.14438011,2.466e-05,-2.466e-05,0.0549,,,0.0,,,89.88,,,923.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-877 b,Kepler-877,2016.0,Transit,5.14,,,2.12,0.14,-0.27,18.45847097,4.779e-05,-4.779e-05,0.1301,,,0.0,,,88.09,,,632.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1619 b,Kepler-1619,2016.0,Transit,0.363,,,0.76,0.15,-0.08,23.6225913,0.000542,-0.000542,0.15413,0.00075,-0.00075,0.0,,,89.14,,,797.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1443 b,Kepler-1443,2016.0,Transit,0.871,,,0.97,0.22,-0.09,2.41811321,1.443e-05,-1.443e-05,0.03783,0.00038,-0.00038,0.0,,,89.89,,,1602.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-597 b,Kepler-597,2016.0,Transit,6.21,,,2.37,0.33,-0.13,13.02365861,2.728e-05,-2.728e-05,0.10916,0.00079,-0.00079,0.0,,,89.93,,,743.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-312 b,Kepler-312,2014.0,Transit,2.21,,,1.29,0.25,-0.25,1.772419,1.2e-05,-1.2e-05,0.031,,,0.0,,,89.94,,,1685.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1921 c,Kepler-1921,2023.0,Transit,2.57,,,1.41,0.33,-0.57,3.15722086,1.947e-05,-1.947e-05,0.0454,,,0.0,,,89.99,,,1791.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-182 c,Kepler-182,2014.0,Transit,11.6,,,3.43,1.53,-1.53,20.684342,9.7e-05,-9.7e-05,0.157,,,0.0,,,88.74,,,729.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-172 c,Kepler-172,2014.0,Transit,8.55,,,2.86,0.53,-0.53,6.388996,2e-05,-2e-05,0.068,,,0.0,,,83.26,,,970.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-219 b,Kepler-219,2014.0,Transit,9.01,,,2.95,0.49,-0.49,4.585512,8e-06,-8e-06,0.057,,,0.0,,,82.38,,,1307.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-165 c,Kepler-165,2014.0,Transit,5.6,,,2.23,1.35,-1.35,15.31299,5.7e-05,-5.7e-05,0.11,,,0.0,,,88.89,,,581.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-222 c,Kepler-222,2014.0,Transit,19.4,,,4.64,2.07,-2.07,10.08881,1.1e-05,-1.1e-05,0.091,,,0.0,,,87.6,,,734.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-270 b,TOI-270,2019.0,Transit,1.58,0.26,-0.26,1.206,0.039,-0.039,3.3601538,4.8e-06,-4.8e-06,0.03197,0.00022,-0.00022,0.034,0.025,-0.025,89.39,0.37,-0.37,581.0,14.0,-14.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-3540 A b,TOI-3540 A,2022.0,Transit,375.03752026,44.49597698,-44.49597698,23.53885947,,,3.119999,7.9e-06,-7.9e-06,0.04289,0.00092,-0.00093,0.0,,,81.93,,,1498.0,22.0,-22.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-3568 b,TOI-3568,2024.0,Transit,26.4,1.0,-1.0,5.3,0.27,-0.27,4.417965,5e-06,-5e-06,0.0485,0.0004,-0.0004,0.035,0.021,-0.021,89.2,1.1,-1.3,899.0,12.0,-12.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 93963 A c,HD 93963 A,2022.0,Transit,18.4,3.2,-3.1,3.11976057,0.13502367,-0.10446158,3.6451389,4.4e-06,-4.4e-06,0.04726,0.0008,-0.0009,0.0,,,86.31,0.19,-0.19,1212.45,17.66,-18.7,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1246 b,TOI-1246,2022.0,Transit,8.1,1.1,-1.1,3.01,0.06,-0.06,4.30744,2e-05,-2e-05,0.049,0.002,-0.002,,,,87.9,0.4,-0.4,955.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1676 b,Kepler-1676,2020.0,Transit,11.3,,,3.3769596,,,29.9221,,,0.1954,,,0.0,,,89.72,,,782.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-743 b,Kepler-743,2016.0,Transit,1.92,,,1.21,0.03,-0.05,3.179262921,2.517e-06,-2.517e-06,0.04166,0.00047,-0.00047,0.0,,,89.59,,,1101.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-419 c,Kepler-419,2014.0,Transit Timing Variations,2320.1,127.1,-127.1,12.6,,,675.47,0.11,-0.11,1.68,0.03,-0.03,0.184,0.002,-0.002,88.0,3.0,-2.0,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-265 c,Kepler-265,2014.0,Transit,7.41,,,2.63,0.55,-0.55,17.028937,0.000136,-0.000136,0.127,,,0.0,,,89.59,,,755.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-539 c,Kepler-539,2016.0,Transit Timing Variations,762.792,381.396,-381.396,13.3,,,1000.0,,,2.42,0.5,-0.51,0.5,0.1,-0.1,,,,253.0,27.0,-27.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-887 b,Kepler-887,2016.0,Transit,4.04,,,1.84,0.27,-0.17,20.42228798,9.225e-05,-9.225e-05,0.15431,0.00137,-0.00137,0.0,,,89.87,,,785.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-885 b,Kepler-885,2016.0,Transit,6.8,,,2.5,0.4,-0.39,18.11472949,5.308e-05,-5.308e-05,0.14403,0.00112,-0.00112,0.0,,,85.95,,,830.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-307 b,Kepler-307,2013.0,Transit,7.44,0.91,-0.87,2.43,0.09,-0.09,10.4208,0.0009,-0.0008,0.09359,0.00063,-0.00063,0.0,,,88.23,,,797.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-309 b,Kepler-309,2014.0,Transit,3.05,,,1.56,0.14,-0.14,5.923653,2.8e-05,-2.8e-05,0.059,,,0.0,,,89.85,,,531.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-905 b,Kepler-905,2016.0,Transit,2.57,,,1.41,0.05,-0.05,5.082746517,8.374e-06,-8.374e-06,0.05689,0.00046,-0.00046,0.0,,,89.84,,,928.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-929 b,Kepler-929,2016.0,Transit,1.41,,,1.11,0.27,-0.15,0.921032135,3.151e-06,-3.151e-06,0.01982,0.00021,-0.00021,0.0,,,89.49,,,2362.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1984 b,Kepler-1984,2023.0,Transit,37.3,,,6.81,0.75,-0.9,1.992812339,7.832e-06,-7.832e-06,0.0238,,,0.0,,,55.11,,,675.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1471 b,Kepler-1471,2016.0,Transit,2.57,,,1.41,0.2,-0.14,3.63899398,2.002e-05,-2.002e-05,0.0453,,,0.0,,,88.46,,,1238.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1475 b,Kepler-1475,2016.0,Transit,8.85,,,2.92,0.99,-0.46,82.177374,0.00115,-0.00115,0.373,,,0.0,,,89.99,,,441.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-636 b,Kepler-636,2016.0,Transit,18.1,,,4.45,0.14,-0.13,16.080661147,5.603e-06,-5.603e-06,0.1185,,,0.0,,,89.93,,,614.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-837 b,Kepler-837,2016.0,Transit,7.08,,,2.56,0.22,-0.43,16.56059504,4.293e-05,-4.293e-05,0.1144,,,0.0,,,86.99,,,701.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-84 b,Kepler-84,2012.0,Transit,40.0,13.7,-10.3,2.23,0.1,-0.1,8.726,,,0.0827,,,0.0,,,82.52,,,985.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-84 c,Kepler-84,2012.0,Transit,20.2,13.5,-10.2,2.36,0.11,-0.11,12.883,,,0.1072,,,0.0,,,81.13,,,865.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-84 e,Kepler-84,2014.0,Transit,7.27,,,2.6,0.49,-0.49,27.434389,0.000224,-0.000224,0.181,,,0.0,,,88.99,,,672.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-864 b,Kepler-864,2016.0,Transit,6.35,,,2.4,0.63,-0.22,5.83376092,1.891e-05,-1.891e-05,0.0687,,,0.0,,,84.6,,,1143.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KOI-1599.02,KOI-1599,2019.0,Transit,9.0,0.3,-0.3,1.9,0.2,-0.2,13.6088,0.0006,-0.0006,0.112293,,,0.0114,,,88.6,0.06,-0.06,755.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1627 b,Kepler-1627,2016.0,Transit,13.2,,,3.69,0.49,-0.41,7.20283653,8.773e-05,-8.773e-05,0.0643,,,0.0,,,89.92,,,794.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-418 b,Kepler-418,2014.0,Transit,349.6112477,,,13.45,1.79,-1.79,86.67856,7e-05,-7e-05,0.39249,0.00435,-0.00435,0.2,0.11,-0.11,89.952,0.041,-0.041,434.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-299 c,Kepler-299,2014.0,Transit,7.51,,,2.65,0.63,-0.63,6.885875,4e-05,-4e-05,0.07,,,0.0,,,78.69,,,946.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-294 c,Kepler-294,2014.0,Transit,7.8,,,2.71,1.27,-1.27,6.6264,2.8e-05,-2.8e-05,0.071,,,0.0,,,89.61,,,895.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-760 b,Kepler-760,2016.0,Transit,9.59,,,3.06,0.26,-0.24,8.70419416,1.277e-05,-1.277e-05,0.08087,0.00071,-0.00071,0.0,,,88.6,,,748.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-285 b,Kepler-285,2014.0,Transit,2.36,,,1.34,0.58,-0.58,2.633867,1.2e-05,-1.2e-05,0.036,,,0.0,,,88.82,,,1131.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-294 b,Kepler-294,2014.0,Transit,3.78,,,1.77,0.83,-0.83,3.701212,2.5e-05,-2.5e-05,0.048,,,0.0,,,89.09,,,1087.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-199 c,Kepler-199,2014.0,Transit,10.6,,,3.25,0.58,-0.58,67.093408,0.00019,-0.00019,0.316,,,0.0,,,88.93,,,420.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-207 b,Kepler-207,2014.0,Transit,3.09,,,1.57,0.3,-0.3,1.611865,6e-06,-6e-06,0.029,,,0.0,,,73.17,,,1930.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-311 b,Kepler-311,2014.0,Transit,3.53,,,1.7,0.33,-0.33,9.176092,5.7e-05,-5.7e-05,0.087,,,0.0,,,89.63,,,960.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-218 b,Kepler-218,2014.0,Transit,2.79,,,1.48,0.12,-0.12,3.619337,1.1e-05,-1.1e-05,0.046,,,0.0,,,89.27,,,1156.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-210 b,Kepler-210,2014.0,Transit,8.96,,,2.94,0.21,-0.21,2.453234,1e-06,-1e-06,0.032,,,0.0,,,77.86,0.26,-0.26,737.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-186 d,Kepler-186,2014.0,Transit,2.54,,,1.4,0.16,-0.16,13.342996,2.5e-05,-2.4e-05,0.0781,0.01,-0.01,0.0,,,89.1,,,379.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-295 c,Kepler-295,2014.0,Transit,1.71,,,1.17,0.62,-0.62,21.526258,0.000336,-0.000336,0.142,,,0.0,,,86.2,,,621.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-402 e,Kepler-402,2014.0,Transit,2.73,,,1.46,0.29,-0.29,11.242861,5.9e-05,-5.9e-05,0.102,,,0.0,,,88.3,,,931.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
