name,host_star,discovery_year,discovery_method,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,equilibrium_temperature,equilibrium_temperature_error_min,equilibrium_temperature_error_max,source,last_updated
Pr0211 c,Pr0211,2016.0,Radial Velocity,2475.8957,104.8839,-104.8839,12.6,,,4850.0,4560.0,-1750.0,5.5,3.0,-1.4,0.71,0.11,-0.11,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-172 c,K2-172,2018.0,Transit,10.4,,,3.20569097,0.18890159,-0.13911768,29.62682,0.001555,-0.001607,,,,,,,89.49725,0.34845,-0.52777,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
XO-4 b,XO-4,2010.0,Transit,451.3186,60.3877,-60.3877,14.01125,0.89672,-0.89672,4.12508,4e-06,-4e-06,0.05524,0.00027,-0.00028,0.0,,,88.8,0.6,-0.6,1630.0,169.0,-36.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-300 c,Kepler-300,2014.0,Transit,5.69,,,2.25,1.04,-1.04,40.714955,0.000245,-0.000245,0.232,,,0.0,,,88.74,,,516.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-893 b,Kepler-893,2016.0,Transit,9.43,,,3.03,0.52,-0.37,6.33855761,1.361e-05,-1.361e-05,0.0699,,,0.0,,,82.42,,,1034.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 393 b,GJ 393,2021.0,Radial Velocity,1.71,0.24,-0.24,1.17,,,7.02679,0.00082,-0.00085,0.05402,0.00072,-0.00072,,,,,,,485.0,11.0,-11.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
EPIC 206042996 c,EPIC 206042996,2021.0,Transit,1.87,,,1.2,0.2,-0.1,0.354884,6.3e-05,-6.3e-05,,,,,,,89.9,20.0,-10.0,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-55 b,K2-55,2016.0,Transit,14.0,,,3.82,0.32,-0.32,2.849258,3.3e-05,-3.3e-05,0.03486,0.00078,-0.00078,0.07,0.13,-0.06,88.2,1.1,-1.0,912.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-159 b,K2-159,2018.0,Transit,5.73,,,2.26,0.17,-0.11,12.42205,0.0018,-0.00182,0.1013,0.0008,-0.0009,,,,89.06464,0.67705,-1.12862,684.0,8.0,-8.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 332231 b,HD 332231,2020.0,Transit,74.1,5.6,-5.4,9.07303305,0.18720815,-0.17534239,18.712024,2.3e-05,-2.3e-05,0.145,0.003,-0.003,0.0,,,89.68,0.22,-0.28,798.3,14.03,-13.21,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
V1298 Tau d,V1298 Tau,2019.0,Transit,98.52680617,,,6.41,0.45,-0.4,12.4032,0.0015,-0.0015,0.1083,0.0017,-0.0017,0.21,,,89.04,0.65,-0.73,845.0,27.0,-27.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
WASP-186 b,WASP-186,2020.0,Transit,1341.2426,57.2094,-57.2094,12.44199,0.33627,-0.33627,5.026799,1.2e-05,-1.4e-05,0.06,0.0012,-0.0013,0.33,0.01,-0.01,83.59,0.55,-0.49,1378.4,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
XO-7 b,XO-7,2019.0,Transit,225.34147,10.80622,-10.80622,15.389957,0.291434,-0.291434,2.8641424,4.3e-06,-4.3e-06,0.04421,0.00062,-0.00062,0.038,0.033,-0.033,83.45,0.29,-0.29,1743.0,23.0,-23.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
WASP-8 b,WASP-8,2010.0,Transit,807.2882,104.8839,-104.8839,12.66617,0.56045,-0.56045,8.15872,1.5e-05,-1.5e-05,0.0801,0.0015,-0.0015,0.31,0.0,0.0,88.55,0.16,-0.16,1059.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-377 b,K2-377,2022.0,Transit,3.51,,,1.693,0.146,-0.132,12.832235,0.001554,-0.001616,,,,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
2MASS J11011926-7732383 b,2MASS J11011926-7732383,2024.0,Imaging,8899.195396,3178.28407,-2224.798849,11.9,,,,,,266.0,8.0,-8.0,,,,,,,2677.0,78.0,-76.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
WASP-72 b,WASP-72,2012.0,Transit,731.009,222.481,-222.481,14.45961,2.01762,-2.01762,2.21673,2e-06,-2e-06,0.03711,0.00048,-0.00051,0.0,,,86.8,2.55,-2.55,2210.0,120.0,-130.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-72 e,K2-72,2016.0,Transit,2.21,,,1.29,0.14,-0.13,24.158868,0.003726,-0.00385,0.106,0.009,-0.013,0.11,0.198676,-0.086832,89.68,0.22,-0.32,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-385 b,K2-385,2022.0,Transit,2.98,,,1.539,0.145,-0.126,2.380867,0.000161,-0.000216,,,,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
WASP-192 b,WASP-192,2019.0,Transit,731.009,50.8528,-50.8528,13.78707,0.89672,-0.89672,2.8786765,2.8e-06,-2.8e-06,0.0408,0.0008,-0.0008,0.0,,,82.7,0.6,-0.6,1620.0,60.0,-60.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1794 b,TOI-1794,2024.0,Transit,8.7,4.1,-4.0,3.29701268,0.16656615,-0.13651409,8.765528,3.5e-05,-3.5e-05,0.082,0.002,-0.002,0.0,,,,,,992.91,17.18,-16.51,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1824 b,TOI-1824,2024.0,Transit,16.0,2.6,-2.6,2.7438269,0.08672208,-0.07211466,22.808533,5.5e-05,-5.5e-05,0.151,0.003,-0.003,0.0,,,,,,528.67,7.29,-7.1,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 66428 b,HD 66428,2005.0,Radial Velocity,3478.94974302,776.13696989,-1222.05022491,12.4,,,2269.81726,5.36611,-5.85401,3.395,0.141,-0.157,0.471,0.012,-0.012,16.639,10.121,-2.959,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 70642 b,HD 70642,2003.0,Radial Velocity,1239.5307873,92.17023803,-85.81366989,13.0,,,2124.54,14.65,-13.51,3.318,0.022,-0.021,0.175,0.044,-0.044,29.9,2.6,-2.4,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
LkCa 15 c,LkCa 15,2015.0,Imaging,,,,,,,,,,18.6,2.5,-2.5,,,,50.0,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
MXB 1658-298 b,MXB 1658-298,2017.0,Eclipse Timing Variations,7532.571,1017.056,-1017.056,12.0,,,760.0,,,1.613,0.11,-0.11,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
MOA-2016-BLG-319L b,MOA-2016-BLG-319L,2018.0,Microlensing,200.0,369.0,-100.0,14.1,,,,,,0.95,0.17,-0.2,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
MOA-2011-BLG-291L b,MOA-2011-BLG-291L,2018.0,Microlensing,18.0,34.0,-12.0,4.43,,,,,,0.69,0.24,-0.24,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HIP 91258 b,HIP 91258,2013.0,Radial Velocity,346.4347,66.7443,-66.7443,13.7,,,5.0505,0.0015,-0.0015,0.06,0.0,0.0,0.02,0.01,-0.01,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
BD+15 2375 b,BD+15 2375,2016.0,Radial Velocity,337.21763,85.8141,-85.8141,13.8,,,153.22,0.44,-0.44,0.576,0.027,-0.027,0.001,0.25,-0.001,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 111232 c,HD 111232,2022.0,Radial Velocity,5740.93451564,1337.73976506,-512.33939208,12.2,,,26472.44623,5155.42268,-4507.69327,17.25,2.158,-2.151,0.558,0.027,-0.028,87.902,13.916,-22.591,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
EPIC 206042996 b,EPIC 206042996,2019.0,Transit,3.53,,,1.7,0.2,-0.2,5.2986,0.0006,-0.0006,,,,,,,90.5,3.0,-3.0,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
CoRoT-21 b,CoRoT-21,2012.0,Transit,718.2958,98.5273,-98.5273,14.5717,1.56926,-1.56926,2.72474,0.00014,-0.00014,0.0417,0.0011,-0.0011,0.0,,,86.8,2.1,-2.1,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 14787 b,HD 14787,2018.0,Radial Velocity,356.28743,21.93027,-21.93027,13.7,,,676.6,8.1,-8.1,1.7,0.19,-0.19,0.155,0.073,-0.073,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
NGC 2682 YBP 1514 b,NGC 2682 YBP 1514,2014.0,Radial Velocity,127.132,120.7754,-120.7754,14.0,,,5.118,0.001,-0.001,,,,0.28,0.09,-0.09,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 1148 c,GJ 1148,2017.0,Radial Velocity,68.06,4.91,-2.19,9.71,,,532.58,4.14,-2.52,0.912,0.005,-0.002,0.342,0.05,-0.062,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
EPIC 229004835 b,EPIC 229004835,2023.0,Transit,10.4,1.6,-1.5,2.332,0.08,-0.094,16.141132,1.9e-05,-1.9e-05,0.1237,0.0017,-0.0017,0.23,,,88.08,0.26,-0.24,804.0,10.0,-10.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-431 c,TOI-431,2021.0,Radial Velocity,2.83,0.41,-0.34,1.49,,,4.8494,0.0003,-0.0002,0.052,0.001,-0.001,0.0,,,86.35,0.04,-0.09,867.0,20.0,-20.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
